,Ocean,SAMPMETHOD,Measurement,UNIT,Latitude,Longitude,Date,geometry
4285,Atlantic Ocean,Manta net,0.174134,pieces/m3,41.5305,5.151183,"Mon, 07 May 2018 00:00:00 GMT",POINT (5.15118300000006 41.5305000000001)
4287,Atlantic Ocean,Neuston net,0.00216,pieces/m3,31.23,-73.62,"Tue, 05 Apr 2005 00:00:00 GMT",POINT (-73.6199999999999 31.2300000000001)
4288,Pacific Ocean,Manta net,7.753387,pieces/m3,33.94,-142.0,"Thu, 25 Jul 2019 00:00:00 GMT",POINT (-142 33.9400000000001)
4290,Atlantic Ocean,Grab sample,0.008,pieces/m3,38.1414,-76.6133,"Sat, 01 Aug 2015 00:00:00 GMT",POINT (-76.6133 38.1414)
4293,Atlantic Ocean,Neuston net,0.00648,pieces/m3,23.74,-74.7,"Sun, 21 Feb 1999 00:00:00 GMT",POINT (-74.7 23.7400000000001)
4294,Atlantic Ocean,Neuston net,0.0,pieces/m3,20.21,-79.82,"Tue, 18 Dec 2001 00:00:00 GMT",POINT (-79.8199999999999 20.21)
4295,Atlantic Ocean,Neuston net,0.028076,pieces/m3,28.98,-58.43,"Mon, 28 Oct 2002 00:00:00 GMT",POINT (-58.4299999999999 28.9800000000001)
4296,Atlantic Ocean,Neuston net,0.00432,pieces/m3,21.68,-56.7,"Sat, 02 Nov 2002 00:00:00 GMT",POINT (-56.6999999999999 21.6800000000001)
4297,Atlantic Ocean,Neuston net,0.0,pieces/m3,20.98,-68.28,"Thu, 19 Dec 1991 00:00:00 GMT",POINT (-68.28 20.9800000000001)
4298,Atlantic Ocean,Neuston net,0.062636,pieces/m3,27.54,-64.44,"Mon, 16 May 2005 00:00:00 GMT",POINT (-64.4399999999999 27.5400000000001)
4301,Atlantic Ocean,Neuston net,0.0,pieces/m3,24.37,-82.24,"Mon, 06 Jan 2003 00:00:00 GMT",POINT (-82.24 24.3700000000001)
4302,Atlantic Ocean,Neuston net,0.0,pieces/m3,24.01,-82.07,"Thu, 01 May 2008 00:00:00 GMT",POINT (-82.0699999999999 24.01)
4303,Atlantic Ocean,Neuston net,0.0,pieces/m3,25.6,-77.58,"Wed, 31 Mar 1993 00:00:00 GMT",POINT (-77.58 25.6)
4304,Atlantic Ocean,Neuston net,0.001168,pieces/m3,24.22,-74.4,"Mon, 23 Apr 1990 00:00:00 GMT",POINT (-74.4 24.22)
4317,Atlantic Ocean,Van Dorn sampler,1000.0,pieces/m3,27.5737,-82.6868,"Mon, 19 Jun 2017 00:00:00 GMT",POINT (-82.6867999999999 27.5737)
4318,Atlantic Ocean,Van Dorn sampler,1000.0,pieces/m3,27.6081,-82.5712,"Mon, 17 Apr 2017 00:00:00 GMT",POINT (-82.5712 27.6081)
4323,Pacific Ocean,Neuston net,0.0,pieces/m3,23.15,-144.69,"Thu, 16 Oct 2008 00:00:00 GMT",POINT (-144.69 23.15)
4324,Pacific Ocean,Neuston net,0.00216,pieces/m3,24.28,-143.99,"Mon, 21 Feb 2011 00:00:00 GMT",POINT (-143.99 24.28)
4325,Atlantic Ocean,Neuston net,0.0,pieces/m3,26.25,-78.57,"Wed, 10 Feb 1993 00:00:00 GMT",POINT (-78.5699999999999 26.2500000000001)
4326,Atlantic Ocean,Neuston net,0.0,pieces/m3,26.03,-79.58,"Sun, 08 May 1994 00:00:00 GMT",POINT (-79.58 26.03)
4327,Atlantic Ocean,Neuston net,0.02376,pieces/m3,25.93,-79.7,"Fri, 09 Feb 1996 00:00:00 GMT",POINT (-79.7 25.9300000000001)
4328,Atlantic Ocean,Plankton net,2.3,pieces/m3,27.9528,-82.6416,"Mon, 03 Oct 2016 00:00:00 GMT",POINT (-82.6416 27.9528)
4329,Atlantic Ocean,Neuston net,0.0,pieces/m3,12.49,-61.68,"Tue, 07 Dec 1993 00:00:00 GMT",POINT (-61.6799999999999 12.4900000000001)
4330,Atlantic Ocean,Neuston net,0.007196,pieces/m3,11.87,-61.33,"Fri, 17 Nov 1995 00:00:00 GMT",POINT (-61.33 11.8700000000001)
4331,Atlantic Ocean,Grab sample,0.022,pieces/m3,18.3043,-45.5097,"Fri, 05 Dec 2014 00:00:00 GMT",POINT (-45.5097 18.3043000000001)
4332,Atlantic Ocean,Grab sample,0.012,pieces/m3,19.0,-43.95,"Fri, 05 Dec 2014 00:00:00 GMT",POINT (-43.9499999999999 19.0000000000001)
